"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12517","Register user case1","firefox","2025-10-03","passed","2025-10-03","Auth flow cases 1-5","tests\e2e\auth.spec.ts","",""
"","5422","Log out user","chromium","2025-10-03","failed","2025-10-03","Auth flow cases 1-5","tests\e2e\auth.spec.ts","",""
"","7219","login user with inccorect email & passowrd case3","chromium","2025-10-03","passed","2025-10-03","Auth flow cases 1-5","tests\e2e\auth.spec.ts","",""
"","8527","login user with inccorect email & passowrd case3","firefox","2025-10-03","passed","2025-10-03","Auth flow cases 1-5","tests\e2e\auth.spec.ts","",""
"","7570","login user case2","firefox","2025-10-03","passed","2025-10-03","Auth flow cases 1-5","tests\e2e\auth.spec.ts","",""
"","2505","Register user","firefox","2025-10-03","passed","2025-10-03","","tests\api\auth.api.spec.ts","",""
"","12648","Log out user","firefox","2025-10-03","passed","2025-10-03","Auth flow cases 1-5","tests\e2e\auth.spec.ts","",""
"","15019","Register user case1","chromium","2025-10-03","passed","2025-10-03","Auth flow cases 1-5","tests\e2e\auth.spec.ts","",""
"","13251","login user case2","chromium","2025-10-03","passed","2025-10-03","Auth flow cases 1-5","tests\e2e\auth.spec.ts","",""
"","2047","Register user","chromium","2025-10-03","passed","2025-10-03","","tests\api\auth.api.spec.ts","",""
